word;JR;ER;AB;measure;genre;type;status
pyanfar;unexpected;unexpected;expected;LLR;scifi;interpretability;unexpected
terrien;expected;expected;expected;LLR;scifi;interpretability;expected
écran;expected;expected;expected;LLR;scifi;interpretability;expected
miro;unexpected;unexpected;expected;LLR;scifi;interpretability;unexpected
système;expected;expected;expected;LLR;scifi;interpretability;expected
weller;unexpected;unexpected;unexpected;LLR;scifi;interpretability;unexpected
fran;unexpected;unexpected;expected;LLR;scifi;interpretability;unexpected
copeau;expected;unexpected;expected;LLR;scifi;interpretability;expected
mme;unexpected;expected;unexpected;LLR;scifi;interpretability;unexpected
père;unexpected;expected;expected;LLR;scifi;interpretability;expected
louis;unexpected;expected;expected;LLR;scifi;interpretability;expected
cité;unexpected;expected;expected;LLR;scifi;interpretability;expected
chez;unexpected;unexpected;unexpected;LLR;scifi;interpretability;unexpected
mu;unexpected;unexpected;expected;LLR;scifi;interpretability;unexpected
antonin;unexpected;expected;expected;LLR;scifi;interpretability;expected
krug;unexpected;unexpected;expected;LLR;scifi;interpretability;unexpected
espace;expected;expected;expected;LLR;scifi;interpretability;expected
moi;unexpected;expected;expected;LLR;scifi;interpretability;expected
leur;unexpected;expected;unexpected;LLR;scifi;interpretability;unexpected
paris;unexpected;expected;expected;LLR;scifi;interpretability;expected
corson;unexpected;unexpected;unexpected;LLR;scifi;interpretability;unexpected
voiture;unexpected;expected;expected;LLR;scifi;interpretability;expected
qing;unexpected;unexpected;expected;LLR;scifi;interpretability;unexpected
taël;unexpected;unexpected;expected;LLR;scifi;interpretability;unexpected
mr;unexpected;expected;unexpected;LLR;scifi;interpretability;unexpected
jao;unexpected;unexpected;expected;LLR;scifi;interpretability;unexpected
mari;unexpected;unexpected;expected;LLR;scifi;interpretability;unexpected
de;unexpected;unexpected;unexpected;LLR;scifi;interpretability;unexpected
klyd;unexpected;unexpected;expected;LLR;scifi;interpretability;unexpected
ingold;unexpected;unexpected;expected;LLR;scifi;interpretability;unexpected
valentine;unexpected;expected;expected;LLR;scifi;interpretability;expected
soir;unexpected;unexpected;unexpected;LLR;scifi;interpretability;unexpected
maison;unexpected;expected;expected;LLR;scifi;interpretability;expected
univers;expected;expected;expected;LLR;scifi;interpretability;expected
je;narrative form;narrative form;narrative form;LLR;scifi;category;narrative form
lui;n/o;narrative form;n/o;LLR;scifi;category;n/o
me;n/o;narrative form;narrative form;LLR;scifi;category;narrative form
planète;space;space;space;LLR;scifi;category;space
mon;n/o;narrative form;narrative form;LLR;scifi;category;narrative form
vaisseau;thematic concept;space;language pattern;LLR;scifi;category;check
vous;n/o;narrative form;narrative form;LLR;scifi;category;narrative form
humain;thematic concept;main character;thematic concept;LLR;scifi;category;thematic concept
monsieur;n/o;tonality;n/o;LLR;scifi;category;n/o
ender;n/o;n/o;main character;LLR;scifi;category;n/o
le;n/o;n/o;n/o;LLR;scifi;category;n/o
valentin;n/o;main character;main character;LLR;scifi;category;main character
femme;n/o;main character;main character;LLR;scifi;category;main character
valleroy;n/o;main character;main character;LLR;scifi;category;main character
elisa;n/o;main character;main character;LLR;scifi;category;main character
mère;n/o;main character;main character;LLR;scifi;category;main character
pyanfar;n/o;n/o;main character;LLR;scifi;category;n/o
terrien;thematic concept;main character;thematic concept;LLR;scifi;category;thematic concept
écran;language pattern;thematic concept;language pattern;LLR;scifi;category;language pattern
miro;n/o;n/o;narrative form;LLR;scifi;category;n/o
système;language pattern;space;thematic concept;LLR;scifi;category;check
weller;n/o;n/o;n/o;LLR;scifi;category;n/o
fran;n/o;n/o;main character;LLR;scifi;category;n/o
copeau;language pattern;n/o;language pattern;LLR;scifi;category;language pattern
mme;n/o;tonality;n/o;LLR;scifi;category;n/o
père;n/o;main character;main character;LLR;scifi;category;main character
louis;n/o;main character;main character;LLR;scifi;category;main character
cité;n/o;space;space;LLR;scifi;category;space
chez;n/o;n/o;n/o;LLR;scifi;category;n/o
mu;n/o;n/o;language pattern;LLR;scifi;category;n/o
antonin;n/o;main character;main character;LLR;scifi;category;main character
krug;n/o;n/o;main character;LLR;scifi;category;n/o
espace;space;space;thematic concept;LLR;scifi;category;space
moi;n/o;tonality;narrative form;LLR;scifi;category;check
leur;n/o;narrative form;n/o;LLR;scifi;category;n/o
paris;n/o;space;space;LLR;scifi;category;space
corson;n/o;n/o;n/o;LLR;scifi;category;n/o
voiture;n/o;space;space;LLR;scifi;category;space
qing;n/o;n/o;main character;LLR;scifi;category;n/o
taël;n/o;n/o;language pattern;LLR;scifi;category;n/o
mr;n/o;tonality;n/o;LLR;scifi;category;n/o
jao;n/o;n/o;main character;LLR;scifi;category;n/o
mari;n/o;n/o;main character;LLR;scifi;category;n/o
de;n/o;n/o;n/o;LLR;scifi;category;n/o
klyd;n/o;n/o;main character;LLR;scifi;category;n/o
ingold;n/o;n/o;main character;LLR;scifi;category;n/o
valentine;n/o;main character;main character;LLR;scifi;category;main character
soir;n/o;n/o;n/o;LLR;scifi;category;n/o
maison;n/o;space;space;LLR;scifi;category;space
univers;space;space;thematic concept;LLR;scifi;category;space
planète;expected;expected;expected;zeta_sd2;scifi;interpretability;expected
humain;expected;expected;expected;zeta_sd2;scifi;interpretability;expected
système;expected;expected;expected;zeta_sd2;scifi;interpretability;expected
vaisseau;expected;expected;expected;zeta_sd2;scifi;interpretability;expected
écran;expected;expected;expected;zeta_sd2;scifi;interpretability;expected
espace;expected;expected;expected;zeta_sd2;scifi;interpretability;expected
surface;expected;expected;expected;zeta_sd2;scifi;interpretability;expected
cerveau;expected;expected;expected;zeta_sd2;scifi;interpretability;expected
utiliser;expected;unexpected;expected;zeta_sd2;scifi;interpretability;expected
centre;expected;expected;expected;zeta_sd2;scifi;interpretability;expected
niveau;expected;expected;expected;zeta_sd2;scifi;interpretability;expected
univers;expected;expected;expected;zeta_sd2;scifi;interpretability;expected
paroi;expected;expected;expected;zeta_sd2;scifi;interpretability;expected
émettre;expected;expected;expected;zeta_sd2;scifi;interpretability;expected
contrôle;expected;expected;expected;zeta_sd2;scifi;interpretability;expected
base;expected;expected;expected;zeta_sd2;scifi;interpretability;expected
métal;expected;expected;expected;zeta_sd2;scifi;interpretability;expected
centaine;expected;expected;expected;zeta_sd2;scifi;interpretability;expected
sol;expected;expected;expected;zeta_sd2;scifi;interpretability;expected
puissance;expected;expected;expected;zeta_sd2;scifi;interpretability;expected
atteindre;expected;expected;expected;zeta_sd2;scifi;interpretability;expected
masse;expected;expected;expected;zeta_sd2;scifi;interpretability;expected
cité;expected;unexpected;expected;zeta_sd2;scifi;interpretability;expected
créature;expected;expected;expected;zeta_sd2;scifi;interpretability;expected
membre;expected;unexpected;expected;zeta_sd2;scifi;interpretability;expected
ordinateur;expected;expected;expected;zeta_sd2;scifi;interpretability;expected
former;expected;unexpected;expected;zeta_sd2;scifi;interpretability;expected
étoile;expected;expected;expected;zeta_sd2;scifi;interpretability;expected
zone;expected;expected;expected;zeta_sd2;scifi;interpretability;expected
donnée;expected;expected;expected;zeta_sd2;scifi;interpretability;expected
réseau;expected;expected;expected;zeta_sd2;scifi;interpretability;expected
extérieur;expected;expected;expected;zeta_sd2;scifi;interpretability;expected
forme;expected;expected;unexpected;zeta_sd2;scifi;interpretability;expected
arme;expected;expected;expected;zeta_sd2;scifi;interpretability;expected
spatial;expected;expected;expected;zeta_sd2;scifi;interpretability;expected
créer;unexpected;expected;expected;zeta_sd2;scifi;interpretability;expected
effectuer;unexpected;unexpected;expected;zeta_sd2;scifi;interpretability;unexpected
nombreux;expected;expected;expected;zeta_sd2;scifi;interpretability;expected
mètre;expected;unexpected;expected;zeta_sd2;scifi;interpretability;expected
jaillir;unexpected;unexpected;expected;zeta_sd2;scifi;interpretability;unexpected
groupe;unexpected;expected;expected;zeta_sd2;scifi;interpretability;expected
nombre;expected;expected;expected;zeta_sd2;scifi;interpretability;expected
détruire;expected;expected;expected;zeta_sd2;scifi;interpretability;expected
vision;expected;expected;expected;zeta_sd2;scifi;interpretability;expected
constituer;unexpected;unexpected;expected;zeta_sd2;scifi;interpretability;unexpected
combinaison;unexpected;expected;expected;zeta_sd2;scifi;interpretability;expected
supérieur;unexpected;expected;expected;zeta_sd2;scifi;interpretability;expected
moyen;unexpected;expected;expected;zeta_sd2;scifi;interpretability;expected
complexe;unexpected;expected;expected;zeta_sd2;scifi;interpretability;expected
millier;expected;expected;expected;zeta_sd2;scifi;interpretability;expected
planète;space;space;space;zeta_sd2;scifi;category;space
humain;thematic concept;main character;thematic concept;zeta_sd2;scifi;category;thematic concept
système;language pattern;space;thematic concept;zeta_sd2;scifi;category;check
vaisseau;thematic concept;space;language pattern;zeta_sd2;scifi;category;check
écran;language pattern;thematic concept;language pattern;zeta_sd2;scifi;category;language pattern
espace;space;space;thematic concept;zeta_sd2;scifi;category;space
surface;space;space;space;zeta_sd2;scifi;category;space
cerveau;thematic concept;main character;thematic concept;zeta_sd2;scifi;category;thematic concept
utiliser;language pattern;n/o;narrative structure;zeta_sd2;scifi;category;check
centre;language pattern;space;space;zeta_sd2;scifi;category;space
niveau;language pattern;space;thematic concept;zeta_sd2;scifi;category;check
univers;space;space;thematic concept;zeta_sd2;scifi;category;space
paroi;language pattern;space;language pattern;zeta_sd2;scifi;category;language pattern
émettre;language pattern;thematic concept;thematic concept;zeta_sd2;scifi;category;thematic concept
contrôle;thematic concept;thematic concept;thematic concept;zeta_sd2;scifi;category;thematic concept
base;space;space;language pattern;zeta_sd2;scifi;category;space
métal;language pattern;thematic concept;language pattern;zeta_sd2;scifi;category;language pattern
centaine;language pattern;thematic concept;tonality;zeta_sd2;scifi;category;check
sol;space;space;space;zeta_sd2;scifi;category;space
puissance;thematic concept;thematic concept;thematic concept;zeta_sd2;scifi;category;thematic concept
atteindre;thematic concept;thematic concept;narrative structure;zeta_sd2;scifi;category;thematic concept
masse;thematic concept;thematic concept;language pattern;zeta_sd2;scifi;category;thematic concept
cité;n/o;space;space;zeta_sd2;scifi;category;space
créature;main character;main character;tonality;zeta_sd2;scifi;category;main character
membre;n/o;main character;main character;zeta_sd2;scifi;category;main character
ordinateur;language pattern;thematic concept;language pattern;zeta_sd2;scifi;category;language pattern
former;language pattern;n/o;narrative structure;zeta_sd2;scifi;category;check
étoile;space;thematic concept;space;zeta_sd2;scifi;category;space
zone;space;space;space;zeta_sd2;scifi;category;space
donnée;thematic concept;thematic concept;language pattern;zeta_sd2;scifi;category;thematic concept
réseau;language pattern;thematic concept;language pattern;zeta_sd2;scifi;category;language pattern
extérieur;space;space;space;zeta_sd2;scifi;category;space
forme;language pattern;thematic concept;n/o;zeta_sd2;scifi;category;check
arme;thematic concept;thematic concept;thematic concept;zeta_sd2;scifi;category;thematic concept
spatial;space;space;thematic concept;zeta_sd2;scifi;category;space
créer;n/o;thematic concept;narrative structure;zeta_sd2;scifi;category;check
effectuer;n/o;n/o;narrative structure;zeta_sd2;scifi;category;n/o
nombreux;language pattern;thematic concept;tonality;zeta_sd2;scifi;category;check
mètre;language pattern;n/o;language pattern;zeta_sd2;scifi;category;language pattern
jaillir;n/o;n/o;narrative structure;zeta_sd2;scifi;category;n/o
groupe;n/o;main character;main character;zeta_sd2;scifi;category;main character
nombre;language pattern;thematic concept;language pattern;zeta_sd2;scifi;category;language pattern
détruire;thematic concept;thematic concept;thematic concept;zeta_sd2;scifi;category;thematic concept
vision;thematic concept;thematic concept;narrative form;zeta_sd2;scifi;category;thematic concept
constituer;n/o;n/o;narrative structure;zeta_sd2;scifi;category;n/o
combinaison;n/o;thematic concept;narrative structure;zeta_sd2;scifi;category;check
supérieur;n/o;thematic concept;narrative form;zeta_sd2;scifi;category;check
moyen;n/o;thematic concept;narrative structure;zeta_sd2;scifi;category;check
complexe;n/o;thematic concept;thematic concept;zeta_sd2;scifi;category;thematic concept
millier;language pattern;thematic concept;tonality;zeta_sd2;scifi;category;check
police;expected;expected;expected;welsh;policier;interpretability;expected
cela;unexpected;unexpected;unexpected;welsh;policier;interpretability;unexpected
enquête;expected;expected;expected;welsh;policier;interpretability;expected
meurtre;expected;expected;expected;welsh;policier;interpretability;expected
affaire;expected;expected;expected;welsh;policier;interpretability;expected
flic;expected;expected;expected;welsh;policier;interpretability;expected
dire;expected;expected;expected;welsh;policier;interpretability;expected
oui;expected;expected;unexpected;welsh;policier;interpretability;expected
on;unexpected;expected;unexpected;welsh;policier;interpretability;unexpected
voiture;expected;unexpected;expected;welsh;policier;interpretability;expected
coup;expected;expected;expected;welsh;policier;interpretability;expected
inspecteur;expected;expected;expected;welsh;policier;interpretability;expected
foutre;expected;expected;expected;welsh;policier;interpretability;expected
faire;unexpected;unexpected;unexpected;welsh;policier;interpretability;unexpected
bon;unexpected;unexpected;unexpected;welsh;policier;interpretability;unexpected
téléphone;expected;unexpected;expected;welsh;policier;interpretability;expected
crime;expected;expected;expected;welsh;policier;interpretability;expected
aller;unexpected;unexpected;unexpected;welsh;policier;interpretability;unexpected
assassin;expected;expected;expected;welsh;policier;interpretability;expected
mr;unexpected;expected;unexpected;welsh;policier;interpretability;unexpected
assassiner;expected;expected;expected;welsh;policier;interpretability;expected
vous;unexpected;expected;expected;welsh;policier;interpretability;expected
type;expected;expected;expected;welsh;policier;interpretability;expected
poche;unexpected;unexpected;expected;welsh;policier;interpretability;unexpected
tuer;expected;expected;expected;welsh;policier;interpretability;expected
mettre;unexpected;unexpected;unexpected;welsh;policier;interpretability;unexpected
heure;unexpected;unexpected;expected;welsh;policier;interpretability;unexpected
pas;unexpected;unexpected;expected;welsh;policier;interpretability;unexpected
téléphoner;expected;unexpected;expected;welsh;policier;interpretability;expected
policier;expected;expected;expected;welsh;policier;interpretability;expected
chez;unexpected;unexpected;unexpected;welsh;policier;interpretability;unexpected
porte;unexpected;unexpected;expected;welsh;policier;interpretability;unexpected
bureau;expected;expected;expected;welsh;policier;interpretability;expected
commissaire;expected;expected;expected;welsh;policier;interpretability;expected
sortir;unexpected;unexpected;expected;welsh;policier;interpretability;unexpected
cigarette;unexpected;unexpected;expected;welsh;policier;interpretability;unexpected
con;expected;expected;expected;welsh;policier;interpretability;expected
non;unexpected;expected;expected;welsh;policier;interpretability;expected
journal;unexpected;unexpected;expected;welsh;policier;interpretability;unexpected
être;unexpected;unexpected;unexpected;welsh;policier;interpretability;unexpected
je;expected;expected;expected;welsh;policier;interpretability;expected
petit;unexpected;unexpected;expected;welsh;policier;interpretability;unexpected
quoi;unexpected;expected;unexpected;welsh;policier;interpretability;unexpected
truc;expected;expected;expected;welsh;policier;interpretability;expected
merde;expected;expected;expected;welsh;policier;interpretability;expected
ah;expected;expected;expected;welsh;policier;interpretability;expected
tirer;expected;expected;expected;welsh;policier;interpretability;expected
deux;unexpected;unexpected;expected;welsh;policier;interpretability;unexpected
bien;unexpected;unexpected;expected;welsh;policier;interpretability;unexpected
entrer;unexpected;unexpected;expected;welsh;policier;interpretability;unexpected
police;main character;main character;thematic concept;welsh;policier;category;main character
cela;n/o;n/o;n/o;welsh;policier;category;n/o
enquête;narrative form;thematic concept;thematic concept;welsh;policier;category;thematic concept
meurtre;thematic concept;thematic concept;thematic concept;welsh;policier;category;thematic concept
affaire;thematic concept;thematic concept;thematic concept;welsh;policier;category;thematic concept
flic;language pattern;language pattern;language pattern;welsh;policier;category;language pattern
dire;language pattern;language pattern;narrative structure;welsh;policier;category;language pattern
oui;language pattern;language pattern;n/o;welsh;policier;category;language pattern
on;n/o;narrative form;n/o;welsh;policier;category;n/o
voiture;space;n/o;space;welsh;policier;category;space
coup;thematic concept;thematic concept;thematic concept;welsh;policier;category;thematic concept
inspecteur;main character;main character;main character;welsh;policier;category;main character
foutre;language pattern;language pattern;language pattern;welsh;policier;category;language pattern
faire;n/o;n/o;n/o;welsh;policier;category;n/o
bon;n/o;n/o;n/o;welsh;policier;category;n/o
téléphone;narrative structure;n/o;narrative structure;welsh;policier;category;narrative structure
crime;thematic concept;thematic concept;thematic concept;welsh;policier;category;thematic concept
aller;n/o;n/o;n/o;welsh;policier;category;n/o
assassin;main character;thematic concept;main character;welsh;policier;category;main character
mr;n/o;language pattern;language pattern;welsh;policier;category;language pattern
assassiner;thematic concept;thematic concept;thematic concept;welsh;policier;category;thematic concept
vous;n/o;narrative form;language pattern;welsh;policier;category;check
type;language pattern;language pattern;language pattern;welsh;policier;category;language pattern
poche;n/o;n/o;narrative structure;welsh;policier;category;n/o
tuer;thematic concept;thematic concept;thematic concept;welsh;policier;category;thematic concept
mettre;n/o;n/o;n/o;welsh;policier;category;n/o
heure;n/o;n/o;narrative structure;welsh;policier;category;n/o
pas;n/o;n/o;tonality;welsh;policier;category;n/o
téléphoner;narrative structure;n/o;narrative structure;welsh;policier;category;narrative structure
policier;main character;main character;main character;welsh;policier;category;main character
chez;n/o;n/o;n/o;welsh;policier;category;n/o
porte;n/o;n/o;narrative structure;welsh;policier;category;n/o
bureau;space;space;space;welsh;policier;category;space
commissaire;main character;main character;main character;welsh;policier;category;main character
sortir;n/o;n/o;narrative structure;welsh;policier;category;n/o
cigarette;n/o;n/o;narrative structure;welsh;policier;category;n/o
con;language pattern;language pattern;tonality;welsh;policier;category;language pattern
non;n/o;language pattern;tonality;welsh;policier;category;check
journal;n/o;n/o;thematic concept;welsh;policier;category;n/o
être;n/o;n/o;n/o;welsh;policier;category;n/o
je;narrative form;narrative form;narrative form;welsh;policier;category;narrative form
petit;n/o;n/o;narrative structure;welsh;policier;category;n/o
quoi;n/o;language pattern;n/o;welsh;policier;category;n/o
truc;language pattern;language pattern;language pattern;welsh;policier;category;language pattern
merde;language pattern;language pattern;language pattern;welsh;policier;category;language pattern
ah;language pattern;language pattern;narrative form;welsh;policier;category;language pattern
tirer;thematic concept;thematic concept;thematic concept;welsh;policier;category;thematic concept
deux;n/o;n/o;narrative structure;welsh;policier;category;n/o
bien;n/o;n/o;tonality;welsh;policier;category;n/o
entrer;n/o;n/o;narrative structure;welsh;policier;category;n/o
mr;unexpected;expected;expected;LLR;policier;interpretability;expected
je;expected;expected;expected;LLR;policier;interpretability;expected
vous;unexpected;expected;expected;LLR;policier;interpretability;expected
inspecteur;expected;expected;expected;LLR;policier;interpretability;expected
commissaire;expected;expected;expected;LLR;policier;interpretability;expected
cela;unexpected;unexpected;unexpected;LLR;policier;interpretability;unexpected
yudel;unexpected;unexpected;expected;LLR;policier;interpretability;unexpected
dire;expected;expected;expected;LLR;policier;interpretability;expected
police;expected;expected;expected;LLR;policier;interpretability;expected
flic;expected;expected;expected;LLR;policier;interpretability;expected
mathias;unexpected;unexpected;expected;LLR;policier;interpretability;unexpected
leur;unexpected;expected;unexpected;LLR;policier;interpretability;unexpected
méry;unexpected;unexpected;expected;LLR;policier;interpretability;unexpected
miss;unexpected;expected;expected;LLR;policier;interpretability;expected
on;unexpected;expected;unexpected;LLR;policier;interpretability;unexpected
cadin;unexpected;unexpected;expected;LLR;policier;interpretability;unexpected
mrs;unexpected;expected;expected;LLR;policier;interpretability;expected
meurtre;expected;expected;expected;LLR;policier;interpretability;expected
wexford;unexpected;unexpected;expected;LLR;policier;interpretability;unexpected
de;unexpected;unexpected;unexpected;LLR;policier;interpretability;unexpected
lui;unexpected;expected;unexpected;LLR;policier;interpretability;unexpected
christaine;unexpected;unexpected;expected;LLR;policier;interpretability;unexpected
dave;unexpected;unexpected;expected;LLR;policier;interpretability;unexpected
aina;unexpected;unexpected;expected;LLR;policier;interpretability;unexpected
nigel;unexpected;unexpected;expected;LLR;policier;interpretability;unexpected
assassin;expected;expected;expected;LLR;policier;interpretability;expected
voiture;expected;expected;expected;LLR;policier;interpretability;expected
samantha;unexpected;unexpected;expected;LLR;policier;interpretability;unexpected
marc;unexpected;unexpected;expected;LLR;policier;interpretability;unexpected
laviolette;unexpected;unexpected;expected;LLR;policier;interpretability;unexpected
louis;unexpected;unexpected;expected;LLR;policier;interpretability;unexpected
raoul;unexpected;unexpected;expected;LLR;policier;interpretability;unexpected
sern;unexpected;unexpected;unexpected;LLR;policier;interpretability;unexpected
me;unexpected;expected;expected;LLR;policier;interpretability;expected
enquête;expected;expected;expected;LLR;policier;interpretability;expected
policier;expected;expected;expected;LLR;policier;interpretability;expected
son;unexpected;expected;unexpected;LLR;policier;interpretability;unexpected
crime;expected;expected;expected;LLR;policier;interpretability;expected
step;unexpected;unexpected;expected;LLR;policier;interpretability;unexpected
dana;unexpected;unexpected;expected;LLR;policier;interpretability;unexpected
mec;expected;expected;expected;LLR;policier;interpretability;expected
nous;unexpected;expected;expected;LLR;policier;interpretability;expected
gardella;unexpected;unexpected;expected;LLR;policier;interpretability;unexpected
sophia;unexpected;unexpected;expected;LLR;policier;interpretability;unexpected
planète;unexpected;unexpected;unexpected;LLR;policier;interpretability;unexpected
julia;unexpected;unexpected;expected;LLR;policier;interpretability;unexpected
shérif;expected;expected;expected;LLR;policier;interpretability;expected
marthe;unexpected;unexpected;expected;LLR;policier;interpretability;unexpected
sergent;expected;expected;expected;LLR;policier;interpretability;expected
séréna;unexpected;unexpected;expected;LLR;policier;interpretability;unexpected
mr;n/o;language pattern;language pattern;LLR;policier;category;language pattern
je;narrative form;narrative form;narrative form;LLR;policier;category;narrative form
vous;n/o;narrative form;language pattern;LLR;policier;category;check
inspecteur;main character;main character;main character;LLR;policier;category;main character
commissaire;main character;main character;main character;LLR;policier;category;main character
cela;n/o;n/o;n/o;LLR;policier;category;n/o
yudel;n/o;n/o;main character;LLR;policier;category;n/o
dire;language pattern;language pattern;narrative structure;LLR;policier;category;language pattern
police;main character;main character;thematic concept;LLR;policier;category;main character
flic;language pattern;language pattern;language pattern;LLR;policier;category;language pattern
mathias;n/o;n/o;main character;LLR;policier;category;n/o
leur;n/o;narrative form;n/o;LLR;policier;category;n/o
méry;n/o;n/o;main character;LLR;policier;category;n/o
miss;n/o;language pattern;language pattern;LLR;policier;category;language pattern
on;n/o;narrative form;n/o;LLR;policier;category;n/o
cadin;n/o;n/o;main character;LLR;policier;category;n/o
mrs;n/o;language pattern;language pattern;LLR;policier;category;language pattern
meurtre;thematic concept;thematic concept;thematic concept;LLR;policier;category;thematic concept
wexford;n/o;n/o;main character;LLR;policier;category;n/o
de;n/o;n/o;n/o;LLR;policier;category;n/o
lui;n/o;narrative form;n/o;LLR;policier;category;n/o
christaine;n/o;n/o;main character;LLR;policier;category;n/o
dave;n/o;n/o;main character;LLR;policier;category;n/o
aina;n/o;n/o;main character;LLR;policier;category;n/o
nigel;n/o;n/o;main character;LLR;policier;category;n/o
assassin;main character;thematic concept;main character;LLR;policier;category;main character
voiture;space;space;space;LLR;policier;category;space
samantha;n/o;n/o;main character;LLR;policier;category;n/o
marc;n/o;n/o;main character;LLR;policier;category;n/o
laviolette;n/o;n/o;main character;LLR;policier;category;n/o
louis;n/o;n/o;main character;LLR;policier;category;n/o
raoul;n/o;n/o;main character;LLR;policier;category;n/o
sern;n/o;n/o;n/o;LLR;policier;category;n/o
me;n/o;narrative form;narrative form;LLR;policier;category;narrative form
enquête;narrative form;thematic concept;thematic concept;LLR;policier;category;thematic concept
policier;main character;main character;main character;LLR;policier;category;main character
son;n/o;narrative form;n/o;LLR;policier;category;n/o
crime;thematic concept;thematic concept;thematic concept;LLR;policier;category;thematic concept
step;n/o;n/o;space;LLR;policier;category;n/o
dana;n/o;n/o;main character;LLR;policier;category;n/o
mec;language pattern;language pattern;language pattern;LLR;policier;category;language pattern
nous;n/o;narrative form;language pattern;LLR;policier;category;check
gardella;n/o;n/o;main character;LLR;policier;category;n/o
sophia;n/o;n/o;main character;LLR;policier;category;n/o
planète;n/o;n/o;n/o;LLR;policier;category;n/o
julia;n/o;n/o;main character;LLR;policier;category;n/o
shérif;main character;main character;main character;LLR;policier;category;main character
marthe;n/o;n/o;main character;LLR;policier;category;n/o
sergent;main character;main character;main character;LLR;policier;category;main character
séréna;n/o;n/o;main character;LLR;policier;category;n/o
police;expected;expected;expected;zeta_sd2;policier;interpretability;expected
flic;expected;expected;expected;zeta_sd2;policier;interpretability;expected
enquête;expected;expected;expected;zeta_sd2;policier;interpretability;expected
meurtre;expected;expected;expected;zeta_sd2;policier;interpretability;expected
inspecteur;expected;expected;expected;zeta_sd2;policier;interpretability;expected
policier;expected;expected;expected;zeta_sd2;policier;interpretability;expected
téléphone;expected;unexpected;expected;zeta_sd2;policier;interpretability;expected
assassin;expected;expected;expected;zeta_sd2;policier;interpretability;expected
mr;unexpected;expected;expected;zeta_sd2;policier;interpretability;expected
commissaire;expected;expected;expected;zeta_sd2;policier;interpretability;expected
voiture;expected;expected;expected;zeta_sd2;policier;interpretability;expected
foutre;expected;expected;expected;zeta_sd2;policier;interpretability;expected
crime;expected;expected;expected;zeta_sd2;policier;interpretability;expected
cigarette;unexpected;unexpected;expected;zeta_sd2;policier;interpretability;unexpected
téléphoner;unexpected;expected;expected;zeta_sd2;policier;interpretability;expected
type;expected;expected;expected;zeta_sd2;policier;interpretability;expected
journal;unexpected;unexpected;expected;zeta_sd2;policier;interpretability;unexpected
gars;expected;expected;expected;zeta_sd2;policier;interpretability;expected
assassiner;expected;expected;expected;zeta_sd2;policier;interpretability;expected
bureau;expected;expected;expected;zeta_sd2;policier;interpretability;expected
mec;expected;expected;expected;zeta_sd2;policier;interpretability;expected
affaire;expected;expected;expected;zeta_sd2;policier;interpretability;expected
con;expected;expected;expected;zeta_sd2;policier;interpretability;expected
truc;expected;expected;expected;zeta_sd2;policier;interpretability;expected
poche;unexpected;expected;expected;zeta_sd2;policier;interpretability;expected
numéro;unexpected;expected;expected;zeta_sd2;policier;interpretability;expected
tuer;expected;expected;expected;zeta_sd2;policier;interpretability;expected
merde;expected;expected;expected;zeta_sd2;policier;interpretability;expected
monsieur;unexpected;expected;unexpected;zeta_sd2;policier;interpretability;unexpected
mrs;unexpected;expected;expected;zeta_sd2;policier;interpretability;expected
client;unexpected;expected;expected;zeta_sd2;policier;interpretability;expected
hein;expected;expected;expected;zeta_sd2;policier;interpretability;expected
